,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,0.37,0.03,0.313,0.42,0.001,0.002,514.0,563.0,1.0
y_sigma,0.005,0.0,0.005,0.006,0.0,0.0,1916.0,2534.0,1.0
saturation_beta[search_spend],0.094,0.002,0.09,0.099,0.0,0.0,1730.0,2128.0,1.0
saturation_beta[social_spend],0.152,0.007,0.138,0.165,0.0,0.0,908.0,1686.0,1.0
saturation_beta[ctv_spend],0.137,0.027,0.095,0.189,0.001,0.001,572.0,532.0,1.0
saturation_beta[tv_spend],0.227,0.005,0.217,0.237,0.0,0.0,1591.0,2206.0,1.0
saturation_lam[search_spend],10.044,0.445,9.208,10.923,0.01,0.007,1909.0,2241.0,1.0
saturation_lam[social_spend],9.165,0.406,8.43,9.916,0.012,0.006,1084.0,2042.0,1.0
saturation_lam[ctv_spend],8.283,0.943,6.65,10.131,0.04,0.028,591.0,606.0,1.0
saturation_lam[tv_spend],21.796,0.577,20.663,22.847,0.014,0.009,1661.0,2244.0,1.0
adstock_alpha[search_spend],0.029,0.012,0.007,0.051,0.0,0.0,1918.0,1459.0,1.0
adstock_alpha[social_spend],0.225,0.018,0.192,0.258,0.0,0.0,1539.0,2316.0,1.01
adstock_alpha[ctv_spend],0.5,0.028,0.449,0.552,0.001,0.001,2090.0,1955.0,1.0
adstock_alpha[tv_spend],0.815,0.008,0.801,0.83,0.0,0.0,1233.0,1783.0,1.0
gamma_control[prime_day_promo],0.022,0.006,0.011,0.034,0.0,0.0,2380.0,2654.0,1.0
gamma_control[mothers_day_promo],-0.015,2.064,-4.005,3.703,0.048,0.034,1834.0,2365.0,1.0
gamma_control[t],0.0,0.0,0.0,0.0,0.0,0.0,2924.0,3118.0,1.0
gamma_fourier[sin_1],0.001,0.001,-0.001,0.003,0.0,0.0,3288.0,2773.0,1.0
gamma_fourier[sin_2],-0.006,0.001,-0.007,-0.004,0.0,0.0,2793.0,2738.0,1.0
gamma_fourier[cos_1],0.007,0.001,0.006,0.009,0.0,0.0,4058.0,3218.0,1.0
gamma_fourier[cos_2],0.0,0.001,-0.001,0.002,0.0,0.0,3174.0,2943.0,1.0
